Medicamento,Especie de destino,Reacciones Adversas
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,Bovino,Reacción en el punto de inyección
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,Gatos,Reacción en el punto de inyección
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,Perros,Reacción en el punto de inyección
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,Porcino,Reacción en el punto de inyección
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,Ovino,Reacción en el punto de inyección
PHARMASIN 200 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Porcino,Edema local
PHARMASIN 200 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Bovino,Edema local
PHARMASIN 200 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Caprino,Edema local
PHARMASIN 200 mg/ml SOLUCION INYECTABLE PARA BOVINO OVINO CAPRINO Y PORCINO,Ovino,Edema local
COTRISUL COLISTINA 2.000.000 UI/ml,Porcino,Ninguna
GUDAIR,Caprino,Reacción de hipersensibilidad
GUDAIR,Ovino,Reacción de hipersensibilidad
CEFAVEX 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Bovino,Edema en el punto de inyección
CEFAVEX 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Porcino,Edema en el punto de inyección
NOBILIS REO+IB+G+ND,Gallinas,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Caprino,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Caballos,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Porcino,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Gatos,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Bovino,Ninguna
ZEEL USO VETERINARIO SOLUCION INYECTABLE,Ovino,Ninguna
"KETOSAN 100 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO Y PORCINO # KETOSAN 100 mg/ml SOLUCION INYECTABLE PARA EQUINO, BOVINO Y PORCINO",Porcino,Insuficiencia renal
"KETOSAN 100 mg/ml SOLUCION INYECTABLE PARA CABALLOS  BOVINO Y PORCINO # KETOSAN 100 mg/ml SOLUCION INYECTABLE PARA EQUINO, BOVINO Y PORCINO",Bovino,Insuficiencia renal
TOXIPRA PLUS,Bovino,Ninguna
TOXIPRA PLUS,Porcino,Ninguna
TOXIPRA PLUS,Caprino,Ninguna
TOXIPRA PLUS,Ovino,Ninguna
SYVA-BAX,Ovino,Ninguna
SYVA-BAX,Porcino,Ninguna
SYVA-BAX,Bovino,Ninguna
SYVA-BAX,Caprino,Ninguna
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,Gatos,Dolor en el punto de inyección
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,Caballos,Dolor en el punto de inyección
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,Perros,Dolor en el punto de inyección
NEO-BACTERINA,Bovino,Ninguna
NEO-BACTERINA,Caprino,Ninguna
NEO-BACTERINA,Ovino,Ninguna
HYALUDOL 17 mg/ml SOLUCION INYECTABLE # HYALUDOL,Caballos,Inflamación local
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
POULVAC E. COLI,Pavos,Ninguna
RISPOVAL IBR-MARKER VIVUM,Bovino,Inflamación en el punto de inyección
ETADEX,Bovino,Granuloma en el punto de inyección
ETADEX,Gatos,Granuloma en el punto de inyección
ETADEX,Perros,Granuloma en el punto de inyección
PASTERBACT,Caprino,Ninguna
PASTERBACT,Ovino,Ninguna
AVIPRO GUMBORO VAC,Gallinas,Linfopenia
ANTRAVAX,Ovino,Ninguna
ANTRAVAX,Bovino,Ninguna
FLIMABO 100 mg/g SUSPENSION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS Y PORCINO,Porcino,Ninguna
MARBOCARE SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # MARBOCARE SABOR 5 MG COMPRIMIDOS PARA GATOS Y PERROS,Gatos,Alteración del comportamiento
MARBOCARE SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # MARBOCARE SABOR 5 MG COMPRIMIDOS PARA GATOS Y PERROS,Perros,Alteración del comportamiento
MARBOCARE SABOR 20 MG COMPRIMIDOS PARA PERROS # MARBOFLOXACINO EMDOKA 20 MG COMPRIMIDOS PARA PERROS,Porcino,Alteración del comportamiento
MARBOCARE SABOR 20 MG COMPRIMIDOS PARA PERROS # MARBOFLOXACINO EMDOKA 20 MG COMPRIMIDOS PARA PERROS,Bovino,Alteración del comportamiento
COVEXIN 10 SUSPENSION INYECTABLE PARA OVINO Y BOVINO,Ovino,Reacción en el punto de inyección
COVEXIN 10 SUSPENSION INYECTABLE PARA OVINO Y BOVINO,Bovino,Reacción en el punto de inyección
CARPROFELICAN 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Reacción en el punto de inyección
CARPROFELICAN 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Reacción en el punto de inyección
TIPAFAR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Hiperexcitación
TIPAFAR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Hiperexcitación
BARRICADE 50 mg/ml CONCENTRADO PARA EMULSION PARA PULVERIZACION CUTANEA # BARRICADE,Bovino,Ninguna
BARRICADE 50 mg/ml CONCENTRADO PARA EMULSION PARA PULVERIZACION CUTANEA # BARRICADE,Ovino,Ninguna
ANTIDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Hipotensión
ANTIDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Hipotensión
ESPASMODIAN,Bovino,Ninguna
FLORINJECT 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Reacción local
FLORINJECT 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Reacción local
PROZINC 40 UI/ml SUSPENSION INYECTABLE PARA GATOS Y PERROS,Perros,Reacción en el punto de inyección
PROZINC 40 UI/ml SUSPENSION INYECTABLE PARA GATOS Y PERROS,Gatos,Reacción en el punto de inyección
NOSEDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Vocalización
NOSEDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Vocalización
ALGONTEX. EMULSION INYECTABLE PARA OVINO Y CAPRINO # ALGONTEX,Ovino,Ninguna
ALGONTEX. EMULSION INYECTABLE PARA OVINO Y CAPRINO # ALGONTEX,Caprino,Ninguna
IBERITEX,Porcino,Hipertermia
FOOTVAX,Ovino,Reacción local
NIFENCOL 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Inflamación en el punto de inyección
NIFENCOL 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Inflamación en el punto de inyección
GASTROGARD 370 mg/g PASTA ORAL # GASTROGARD 37% P/P PASTA ORAL PARA CABALLOS,Caballos,Ninguna
TOLTRA-K 25 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS Y PAVOS,Pavos,Ninguna
NOBILIS MA5+CLONE 30,Gallinas,Anormalidad respiratoria
SPORIMUNE 50 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,Perros,Hiperexcitación
SPORIMUNE 50 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,Gatos,Hiperexcitación
MAMIYET O Y C 57,Caprino,Alergia
MAMIYET O Y C 57,Ovino,Alergia
"MELOXIDOLOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS, GATOS, BOVINO Y CERDOS",Perros,Reacción anafilactoide
"MELOXIDOLOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS, GATOS, BOVINO Y CERDOS",Porcino,Reacción anafilactoide
"MELOXIDOLOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS, GATOS, BOVINO Y CERDOS",Gatos,Reacción anafilactoide
"MELOXIDOLOR 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y CABALLOS",Porcino,Reacción anafilactoide
"MELOXIDOLOR 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y CABALLOS",Caballos,Reacción anafilactoide
"MELOXIDOLOR 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y CABALLOS",Bovino,Reacción anafilactoide
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Caprino,Ninguna
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Ovino,Ninguna
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Caballos,Ninguna
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Porcino,Ninguna
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Bovino,Ninguna
TRAUMEEL USO VETERINARIO COMPRIMIDOS,Gatos,Ninguna
"MELOVEM 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y EQUINO",Bovino,Reacción anafilactoide
"MELOVEM 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y EQUINO",Porcino,Reacción anafilactoide
"MELOVEM 20 mg/ml SOLUCION INYECTABLE PARA BOVINO, CERDOS Y EQUINO",Caballos,Reacción anafilactoide
MELOVEM 30 mg/ml SOLUCION INYECTABLE PARA BOVINO Y CERDOS,Porcino,Reacción anafilactoide
MELOVEM 30 mg/ml SOLUCION INYECTABLE PARA BOVINO Y CERDOS,Bovino,Reacción anafilactoide
MELOVEM 30 mg/ml SOLUCION INYECTABLE PARA BOVINO Y CERDOS,Caballos,Reacción anafilactoide
DEXABIOPEN SUSPENSIÓN INYECTABLE # DEXABIOPEN,Bovino,Reacción en el punto de inyección
DEXABIOPEN SUSPENSIÓN INYECTABLE # DEXABIOPEN,Porcino,Reacción en el punto de inyección
EURICAN DAPPi-LR # EURICAN MHPPI2-LR,Perros,Granuloma en el punto de inyección
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Ovino,Hipotensión
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Porcino,Hipotensión
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Perros,Hipotensión
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Bovino,Hipotensión
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Gatos,Hipotensión
PROCAMIDOR 20 mg/ml SOLUCION INYECTABLE,Caballos,Hipotensión
ZORABEL 25 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS Y PAVOS # TOLCOX 25 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS Y PAVOS,Pavos,Ninguna
"APOQUEL 3,6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",Perros,Anemia
"APOQUEL 5,4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS",Perros,Anemia
APOQUEL 16 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,Perros,Leucopenia
IVERCEN 10 mg/ml SOLUCION INYECTABLE,Ovino,Inflamación en el punto de inyección
IVERCEN 10 mg/ml SOLUCION INYECTABLE,Bovino,Inflamación en el punto de inyección
IVERCEN 10 mg/ml SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
LIBEO 40 mg COMPRIMIDOS MASTICABLES PARA PERROS # LIBEO 40 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Deshidratación
PEPTIZOLE 370 mg/g PASTA ORAL PARA CABALLOS # PEPTIZOLE 370 mg/g PASTA ORAL PARA EQUINO,Caballos,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Bovino,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Caprino,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Porcino,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Gatos,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Caballos,Ninguna
BERBERIS-HOMACCORD USO VETERINARIO SOLUCION INYECTABLE,Ovino,Ninguna
COMFORTIS 180 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,Perros,Visión anormal
COMFORTIS 180 mg COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,Gatos,Visión anormal
IVERTOTAL 10 mg/ml SOLUCION INYECTABLE,Ovino,Inflamación en el punto de inyección
IVERTOTAL 10 mg/ml SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
IVERTOTAL 10 mg/ml SOLUCION INYECTABLE,Bovino,Inflamación en el punto de inyección
BIOSAN SEPTICEMIA RUMIANTES,Caprino,Ninguna
BIOSAN SEPTICEMIA RUMIANTES,Bovino,Ninguna
BIOSAN SEPTICEMIA RUMIANTES,Ovino,Ninguna
SYNPARV-MR,Porcino,Reacción de hipersensibilidad
"NOBIVAC TRICAT NOVUM LIOFILIZADO Y DISOLVENTE PARA SUSPENSIÓN INYECTABLE, PARA GATOS # NOBIVAC TRICAT NOVUM",Gatos,Alopecia en el punto de inyección
TIAMUMIX 100 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO Y CONEJOS # TIAMUMIX 100 mg/g,Porcino,Eritema local
COLIVALL 2.000.000 UI/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LECHE,Porcino,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Ovino,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Caballos,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Bovino,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Porcino,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Caprino,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Gatos,Ninguna
CLORIVEN 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Perros,Ninguna
ZIAPAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Alteración del comportamiento
ZIAPAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Alteración del comportamiento
EXABIOPEN 200 mg/ml + 250 MG/ML SUSPENSION INYECTABLE,Bovino,Hiperexcitación
EXABIOPEN 200 mg/ml + 250 MG/ML SUSPENSION INYECTABLE,Ovino,Hiperexcitación
EXABIOPEN 200 mg/ml + 250 MG/ML SUSPENSION INYECTABLE,Porcino,Hiperexcitación
DIPTRON 100 mg/ml SOLUCION SPOT-ON PARA PERROS,Perros,Hipersalivación
EXAGON 400 mg/ml SOLUCION INYECTABLE,Bovino,Temblor muscular
EXAGON 400 mg/ml SOLUCION INYECTABLE,Perros,Temblor muscular
EXAGON 400 mg/ml SOLUCION INYECTABLE,Caballos,Temblor muscular
EXAGON 400 mg/ml SOLUCION INYECTABLE,Gatos,Temblor muscular
EXAGON 400 mg/ml SOLUCION INYECTABLE,Porcino,Temblor muscular
TILOSINA 100 mg/g GANADEXIL POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,PETEQUIA EN MUCOSA
TILOSINA 100 mg/g GANADEXIL POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Pavos,PETEQUIA EN MUCOSA
ZODON 25 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,Gatos,Diarrea
ZODON 25 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,Perros,Diarrea
RYCARFA 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Diarrea
RYCARFA 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Diarrea
AQUACOLI 2.000.000 UI/ml,Porcino,Ninguna
AQUACOLI 2.000.000 UI/ml,Pavos,Ninguna
COMBOLINE SPOT ON GATOS Y HURONES,Gatos,Reacción local
AMOXOIL RETARD 150 mg/ml SUSPENSION INYECTABLE # AMOXOIL RETARD,Gatos,Discrasia sanguínea
AMOXOIL RETARD 150 mg/ml SUSPENSION INYECTABLE # AMOXOIL RETARD,Bovino,Discrasia sanguínea
AMOXOIL RETARD 150 mg/ml SUSPENSION INYECTABLE # AMOXOIL RETARD,Ovino,Discrasia sanguínea
AMOXOIL RETARD 150 mg/ml SUSPENSION INYECTABLE # AMOXOIL RETARD,Perros,Discrasia sanguínea
AMOXOIL RETARD 150 mg/ml SUSPENSION INYECTABLE # AMOXOIL RETARD,Porcino,Discrasia sanguínea
ANIMEC 18.7 mg/g PASTA ORAL PARA CABALLOS,Caballos,Ninguna
DELTANIL 10 mg/ml SOLUCION POUR-ON PARA BOVINO Y OVINO,Ovino,Descamación
DELTANIL 10 mg/ml SOLUCION POUR-ON PARA BOVINO Y OVINO,Bovino,Descamación
RABISYVA VP-13,Gatos,Ninguna
RABISYVA VP-13,Bovino,Ninguna
RABISYVA VP-13,Perros,Ninguna
STRONGHOLD 15 mg SOLUCION PARA UNCION DORSAL PUNTUAL,Perros,Convulsiones
STRONGHOLD 15 mg SOLUCION PARA UNCION DORSAL PUNTUAL,Gatos,Convulsiones
EURICAN R,Gatos,Granuloma en el punto de inyección
EURICAN R,Bovino,Granuloma en el punto de inyección
EURICAN R,Perros,Granuloma en el punto de inyección
EURICAN R,Ovino,Granuloma en el punto de inyección
EURICAN R,Caballos,Granuloma en el punto de inyección
ENROCILL SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Reacción de hipersensibilidad
ENROCILL SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Reacción de hipersensibilidad
ENROCILL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y PERROS,Porcino,Reacción local
ENROCILL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y PERROS,Perros,Reacción local
ENROCILL SABOR 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Reacción de hipersensibilidad
ENROCILL SABOR 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Reacción de hipersensibilidad
CLINDASEPTIN 75 mg CAPSULAS PARA PERROS # CLINACIN 75 mg CAPSULAS PARA PERROS,Perros,Diarrea
CLINDASEPTIN 150 mg CAPSULAS PARA PERROS # CLINACIN 150 mg CAPSULAS PARA PERROS,Perros,Diarrea
CLINDASEPTIN 300 mg CAPSULAS PARA PERROS # CLINACIN 300 mg CAPSULAS PARA PERROS,Perros,Diarrea
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Perros,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Caprino,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Caballos,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Ovino,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Porcino,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Bovino,Ninguna
NEOCLOR-T SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,Gatos,Ninguna
FLUMESYVA POLVO ORAL,Porcino,Hiperexcitación
FLUMESYVA POLVO ORAL,Pavos,Hiperexcitación
FLOXAVEX 100 mg/ml CONCENTRADO PARA SOLUCION ORAL POLLOS Y PAVOS,Pavos,Ninguna
FLOXAVEX 100 mg/ml CONCENTRADO PARA SOLUCION ORAL POLLOS Y PAVOS,Gallinas,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Bovino,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Caballos,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Gatos,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Ovino,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Porcino,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Caprino,Ninguna
PEDEROL AEROSOL 20 mg/g SUSPENSION PARA PULVERIZACION CUTANEA,Perros,Ninguna
ERYSENG SUSPENSION INYECTABLE PARA CERDOS,Porcino,Hipertermia
ZODON 88 mg COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea
ZODON 264 mg COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Trombocitopenia
"CORDEXVALL 1,9 mg/ml",Caballos,PANLEUCOPENIA
"CORDEXVALL 1,9 mg/ml",Perros,PANLEUCOPENIA
"CORDEXVALL 1,9 mg/ml",Porcino,PANLEUCOPENIA
"CORDEXVALL 1,9 mg/ml",Gatos,PANLEUCOPENIA
"DEXINVET 1,9 mg/ml",Porcino,PANLEUCOPENIA
"DEXINVET 1,9 mg/ml",Gatos,PANLEUCOPENIA
"DEXINVET 1,9 mg/ml",Caballos,PANLEUCOPENIA
"DEXINVET 1,9 mg/ml",Perros,PANLEUCOPENIA
ERYSENG PARVO SUSPENSION INYECTABLE PARA CERDOS,Porcino,Hipertermia
"APSASOL AMOXICILINA 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO, POLLOS, PAVOS Y PATOS # APSASOL AMOXICILINA 500 mg/g",Porcino,Diarrea
BLUEVAC-4,Ovino,Disminución de la producción láctea
BLUEVAC-4,Bovino,Disminución de la producción láctea
RONAXAN 20 mg COMPRIMIDOS,Gatos,ESOFAGITIS
RONAXAN 20 mg COMPRIMIDOS,Perros,ESOFAGITIS
RONAXAN 100 mg COMPRIMIDOS,Gatos,ESOFAGITIS
RONAXAN 100 mg COMPRIMIDOS,Perros,ESOFAGITIS
EURICAN PIRO,Perros,Edema en el punto de inyección
STOMORGYL 2 kg COMPRIMIDOS RECUBIERTOS,Perros,Diarrea
STOMORGYL 2 kg COMPRIMIDOS RECUBIERTOS,Gatos,Diarrea
STOMORGYL 10 kg COMPRIMIDOS RECUBIERTOS,Gatos,Diarrea
STOMORGYL 10 kg COMPRIMIDOS RECUBIERTOS,Perros,Diarrea
BETAMAXYL 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS PAVOS PATOS Y PORCINO,Pavos,Ninguna
BETAMAXYL 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS PAVOS PATOS Y PORCINO,Porcino,Ninguna
BETAMAXYL 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS PAVOS PATOS Y PORCINO,Patos,Ninguna
CANITENOL PLUS 50 mg/144 mg/150 mg COMPRIMIDOS PARA PERROS,Perros,Ninguna
SPOTINOR 10 mg/ml SOLUCION SPOT-ON PARA BOVINO Y OVINO # SPOTINOR 10 MG/ML SOLUCION SPOT-ON PARA BOVINO Y OVINO,Bovino,Descamación
SPOTINOR 10 mg/ml SOLUCION SPOT-ON PARA BOVINO Y OVINO # SPOTINOR 10 MG/ML SOLUCION SPOT-ON PARA BOVINO Y OVINO,Ovino,Descamación
RELEASE 300 mg/ml SOLUCION INYECTABLE,Bovino,Temblor muscular
RELEASE 300 mg/ml SOLUCION INYECTABLE,Caballos,Temblor muscular
RELEASE 300 mg/ml SOLUCION INYECTABLE,Porcino,Temblor muscular
RELEASE 300 mg/ml SOLUCION INYECTABLE,Perros,Temblor muscular
RELEASE 300 mg/ml SOLUCION INYECTABLE,Gatos,Temblor muscular
"CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS  PAVOS PATOS Y PORCINO # CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS, PAVOS, PATOS Y PORCINO",Porcino,Ninguna
"CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS  PAVOS PATOS Y PORCINO # CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS, PAVOS, PATOS Y PORCINO",Pavos,Ninguna
"CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS  PAVOS PATOS Y PORCINO # CITRAMOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS, PAVOS, PATOS Y PORCINO",Patos,Ninguna
VERSICAN PLUS DHPPI/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,Gatos,Diabetes mellitus
CYCLAVANCE 100 mg/ml SOLUCION ORAL PARA PERROS Y GATOS,Perros,Diabetes mellitus
VERSICAN PLUS DHPPI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
VERSICAN PLUS DHPPi LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
VERSICAN PLUS Pi/L4 LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
VERSICAN PLUS PI/L4R LIOFILIZADO Y SUSPENSION PARA SUSPENSION INYECTABLE PARA PERROS,Perros,Dolor en el punto de inyección
"EFFINOL 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS Y GATOS",Perros,Hipersalivación
"EFFINOL 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS Y GATOS",Gatos,Hipersalivación
VANGUARD 7 liofilizado y suspension para suspension inyectable para perros # VANGUARD 7,Perros,Granuloma en el punto de inyección
EURICAN PNEUMO,Perros,Granuloma en el punto de inyección
MARBOCEN 100 mg/ml SOLUCION INYECTABLE,Bovino,Reacción local
"SUROLAN 20 mg/ml + 4,48 mg/ml + 0,5293 mg/ml, SUSPENSION CUTANEA/GOTAS OTICAS, SUSPENSION PARA PERROS Y GATOS # SUROLAN SUSPENSION OLEOSA PARA PERROS Y GATOS",Perros,SORDERA
"SUROLAN 20 mg/ml + 4,48 mg/ml + 0,5293 mg/ml, SUSPENSION CUTANEA/GOTAS OTICAS, SUSPENSION PARA PERROS Y GATOS # SUROLAN SUSPENSION OLEOSA PARA PERROS Y GATOS",Gatos,SORDERA
EURICAN DAP-LR # EURICAN MHP-LR,Perros,Granuloma en el punto de inyección
